Ticker,Filing Date,Section,Date,Close
msft,2023-08-19,"3.01,3.02,8.01",2023-08-04,327.0874938964844
msft,2023-08-19,"3.01,3.02,8.01",2023-08-07,329.41253662109375
msft,2023-08-19,"3.01,3.02,8.01",2023-08-08,325.3611145019531
msft,2023-08-19,"3.01,3.02,8.01",2023-08-09,321.5492248535156
msft,2023-08-19,"3.01,3.02,8.01",2023-08-10,322.2477111816406
msft,2023-08-19,"3.01,3.02,8.01",2023-08-11,320.331787109375
msft,2023-08-19,"3.01,3.02,8.01",2023-08-14,323.35540771484375
msft,2023-08-19,"3.01,3.02,8.01",2023-08-15,321.1799621582031
msft,2023-08-19,"3.01,3.02,8.01",2023-08-16,320.3999938964844
msft,2023-08-19,"3.01,3.02,8.01",2023-08-17,316.8800048828125
msft,2023-08-19,"3.01,3.02,8.01",2023-08-18,316.4800109863281
msft,2023-08-19,"3.01,3.02,8.01",2023-08-21,321.8800048828125
msft,2023-08-19,"3.01,3.02,8.01",2023-08-22,322.4599914550781
msft,2023-08-19,"3.01,3.02,8.01",2023-08-23,327.0
msft,2023-08-19,"3.01,3.02,8.01",2023-08-24,319.9700012207031
msft,2023-08-19,"3.01,3.02,8.01",2023-08-25,322.9800109863281
msft,2023-08-19,"3.01,3.02,8.01",2023-08-28,323.70001220703125
msft,2023-08-19,"3.01,3.02,8.01",2023-08-29,328.4100036621094
msft,2023-08-19,"3.01,3.02,8.01",2023-08-30,328.7900085449219
msft,2023-08-19,"3.01,3.02,8.01",2023-08-31,327.760009765625
msft,2023-08-19,"3.01,3.02,8.01",2023-09-01,328.6600036621094
AAPL,2023-07-13,"3.01,8.01",2023-06-28,188.99478149414062
AAPL,2023-07-13,"3.01,8.01",2023-06-29,189.33432006835938
AAPL,2023-07-13,"3.01,8.01",2023-06-30,193.7084197998047
AAPL,2023-07-13,"3.01,8.01",2023-07-03,192.20046997070312
AAPL,2023-07-13,"3.01,8.01",2023-07-05,191.0719757080078
AAPL,2023-07-13,"3.01,8.01",2023-07-06,191.55133056640625
AAPL,2023-07-13,"3.01,8.01",2023-07-07,190.4228515625
AAPL,2023-07-13,"3.01,8.01",2023-07-10,188.35565185546875
AAPL,2023-07-13,"3.01,8.01",2023-07-11,187.8263702392578
AAPL,2023-07-13,"3.01,8.01",2023-07-12,189.5140838623047
AAPL,2023-07-13,"3.01,8.01",2023-07-13,190.2830352783203
AAPL,2023-07-13,"3.01,8.01",2023-07-14,190.43284606933594
AAPL,2023-07-13,"3.01,8.01",2023-07-17,193.7283935546875
AAPL,2023-07-13,"3.01,8.01",2023-07-18,193.46873474121094
AAPL,2023-07-13,"3.01,8.01",2023-07-19,194.83689880371094
AAPL,2023-07-13,"3.01,8.01",2023-07-20,192.8695526123047
AAPL,2023-07-13,"3.01,8.01",2023-07-21,191.68116760253906
AAPL,2023-07-13,"3.01,8.01",2023-07-24,192.4900665283203
AAPL,2023-07-13,"3.01,8.01",2023-07-25,193.35888671875
AAPL,2023-07-13,"3.01,8.01",2023-07-26,194.23770141601562
AAPL,2023-07-13,"3.01,8.01",2023-07-27,192.9594268798828
TSLA,2023-06-15,3.02,2023-06-01,207.52000427246094
TSLA,2023-06-15,3.02,2023-06-02,213.97000122070312
TSLA,2023-06-15,3.02,2023-06-05,217.61000061035156
TSLA,2023-06-15,3.02,2023-06-06,221.30999755859375
TSLA,2023-06-15,3.02,2023-06-07,224.57000732421875
TSLA,2023-06-15,3.02,2023-06-08,234.86000061035156
TSLA,2023-06-15,3.02,2023-06-09,244.39999389648438
TSLA,2023-06-15,3.02,2023-06-12,249.8300018310547
TSLA,2023-06-15,3.02,2023-06-13,258.7099914550781
TSLA,2023-06-15,3.02,2023-06-14,256.7900085449219
TSLA,2023-06-15,3.02,2023-06-15,255.89999389648438
TSLA,2023-06-15,3.02,2023-06-16,260.5400085449219
TSLA,2023-06-15,3.02,2023-06-20,274.45001220703125
TSLA,2023-06-15,3.02,2023-06-21,259.4599914550781
TSLA,2023-06-15,3.02,2023-06-22,264.6099853515625
TSLA,2023-06-15,3.02,2023-06-23,256.6000061035156
TSLA,2023-06-15,3.02,2023-06-26,241.0500030517578
TSLA,2023-06-15,3.02,2023-06-27,250.2100067138672
TSLA,2023-06-15,3.02,2023-06-28,256.239990234375
TSLA,2023-06-15,3.02,2023-06-29,257.5
TSLA,2023-06-15,3.02,2023-06-30,261.7699890136719
